20Kb_5End 20Kb_3End Within Within+10Kb
0 0 20000 20000
0 0 NA 0
9690 15000 28802 38000
15000 15000 5582 15000
24497 0 46504 51000
0 0 0 0
0 4288 0 0
19000 16246 14735 19000
0 55 NA 0
0 0 NA 0
0 4655 0 0
18731 17892 21000 21000
16125 5911 0 6125
12709 12901 0 2901
15427 15287 NA 5287
20694 20859 64449 66000
0 0 0 0
0 0 0 0
24250 14207 34751 39000
0 0 0 0
0 0 0 0
20000 2725 14833 20000
0 0 0 0
0 0 0 0
24496 0 36505 41000
14835 29691 55691 65691
0 0 0 0
0 0 NA 0
0 17001 51000 51000
25040 0 21961 27000
0 0 37000 37000
0 0 0 0
0 8783 0 0
21000 20357 15576 21000
0 0 0 0
0 0 0 0
0 21525 100525 110525
25254 9328 35747 41000
16000 15001 0 8551
23033 12669 20968 24000
30000 19595 47549 57549
20596 17001 22405 23000
17001 17001 0 783
20000 15076 5333 15333
4354 5774 NA 0
0 15000 11383 15000
0 0 0 0
0 0 14000 14000
0 0 0 0
11000 11000 10435 11000
20369 21545 115088 117000
16703 15001 32000 32000
21309 0 36692 38000
22000 22000 53709 65000
13592 20000 59540 60000
0 0 21000 21000
19585 20668 23333 24000
22000 22000 11778 22000
1535 1516 0 0
19560 27112 46889 54000
22298 23139 29565 35000
0 2648 0 0
21000 10001 16799 21000
15000 4413 22417 28000
17797 22361 26640 29000
16919 10327 0 6919
20000 20000 6653 20000
19000 19000 10698 19000
894 0 0 0
0 21861 20140 22000
21001 30222 28779 38779
9023 9795 NA 0
0 37354 29647 39647
30515 22740 7776 20515
0 0 0 0
0 0 0 0
0 0 53000 53000
15100 19063 50000 50000
0 34692 14692 24692
18000 0 28426 32000
0 0 34000 34000
13840 15675 50000 50000
0 0 0 0
33875 24007 25120 39126
24000 24000 15287 24000
19265 0 75000 75000
0 17170 62000 62000
18583 26001 35000 36348
26141 13668 27860 34000
22000 22000 120 17069
14641 14835 32000 32000
0 0 0 0
0 16000 49216 51000
0 0 34000 34000
20221 0 55780 56000
0 20002 91999 92000
0 0 0 0
15047 15032 NA 5032
23623 15543 39378 43000
7360 7182 0 0
0 0 0 0
26067 19000 39406 47000
37451 30047 NA 2498
37055 13296 17055 27055
28439 23996 68567 81000
0 0 47000 47000
0 17000 14440 17000
14000 14000 10947 14000
4996 4732 0 0
1 8848 50000 50000
0 0 0 0
28378 15262 35623 44000
23998 0 63003 67000
14199 5211 0 4199
30100 24000 104020 120901
0 2658 29000 29000
15651 28061 95940 104000
0 0 0 0
29000 19009 11699 21699
14778 0 23000 27778
23000 24001 14171 23000
24001 24001 NA 4489
24001 9946 44000 44000
22000 17080 19315 22000
0 14408 0 4408
16286 0 26000 26000
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1953 3293 0 0
19418 0 80000 80000
10576 11718 NA 576
0 0 0 0
0 0 0 0
22759 19154 71242 74000
0 0 0 0
7994 17727 0 7727
0 0 NA 0
11853 18614 42000 42000
0 22931 22070 25000
0 0 17000 17000
0 0 NA 0
12904 14700 0 4700
24000 24000 12927 24000
3518 0 0 0
27649 1663 25352 33000
16035 19640 40000 40000
17449 12108 0 7449
0 0 0 0
0 0 0 0
0 0 NA 0
19855 0 59146 69146
