Chr Start End Length Strand_Up Gene_Up Strand_Down Gene_Down
ENSG00000269831 1 739138 860259 121122 -1 ENSG00000269831 1 ENSG00000187634
ENSG00000187634 1 879956 879583 -372 1 ENSG00000187634 -1 ENSG00000188976
ENSG00000188976 1 894690 948802 54113 -1 ENSG00000188976 1 ENSG00000187608
ENSG00000187608 1 949921 955502 5582 1 ENSG00000187608 1 ENSG00000188157
ENSG00000188157 1 991497 1152287 160791 1 ENSG00000188157 -1 ENSG00000078808
ENSG00000078808 1 1167412 1167628 217 -1 ENSG00000078808 1 ENSG00000176022
ENSG00000176022 1 1170422 1189288 18867 1 ENSG00000176022 -1 ENSG00000160087
ENSG00000160087 1 1209266 1227755 18490 -1 ENSG00000160087 -1 ENSG00000131584
ENSG00000131584 1 1244990 1243946 -1043 -1 ENSG00000131584 1 ENSG00000169972
ENSG00000169972 1 1247058 1246964 -93 1 ENSG00000169972 -1 ENSG00000127054
ENSG00000127054 1 1260072 1270655 10584 -1 ENSG00000127054 -1 ENSG00000107404
ENSG00000107404 1 1284731 1309109 24379 -1 ENSG00000107404 -1 ENSG00000175756
ENSG00000175756 1 1310876 1321090 10215 -1 ENSG00000175756 -1 ENSG00000221978
ENSG00000221978 1 1334709 1334901 193 -1 ENSG00000221978 1 ENSG00000224870
ENSG00000224870 1 1337427 1337287 -139 1 ENSG00000224870 -1 ENSG00000242485
ENSG00000242485 1 1342694 1407142 64449 -1 ENSG00000242485 1 ENSG00000160072
ENSG00000160072 1 1433229 1447530 14302 1 ENSG00000160072 1 ENSG00000197785
ENSG00000197785 1 1470068 1477052 6985 1 ENSG00000197785 -1 ENSG00000160075
ENSG00000160075 1 1510250 1550794 40545 -1 ENSG00000160075 1 ENSG00000197530
ENSG00000197530 1 1565991 1570602 4612 1 ENSG00000197530 -1 ENSG00000248333
ENSG00000248333 1 1590474 1592938 2465 -1 ENSG00000248333 -1 ENSG00000189339
ENSG00000189339 1 1624168 1656276 32109 -1 ENSG00000189339 -1 ENSG00000215790
ENSG00000215790 1 1677432 1682670 5239 -1 ENSG00000215790 -1 ENSG00000008130
ENSG00000008130 1 1711897 1716728 4832 -1 ENSG00000008130 -1 ENSG00000078369
ENSG00000078369 1 1822496 1981908 159413 -1 ENSG00000078369 1 ENSG00000067606
ENSG00000067606 1 2116835 2252691 135857 1 ENSG00000067606 -1 ENSG00000116151
ENSG00000116151 1 2323147 2323266 120 -1 ENSG00000116151 1 ENSG00000157916
ENSG00000157916 1 2336884 2336235 -648 1 ENSG00000157916 -1 ENSG00000157911
ENSG00000157911 1 2345237 2439971 94735 -1 ENSG00000157911 -1 ENSG00000157881
ENSG00000157881 1 2458040 3370989 912950 -1 ENSG00000157881 1 ENSG00000130762
ENSG00000130762 1 3397678 3541565 143888 1 ENSG00000130762 1 ENSG00000158109
ENSG00000158109 1 3546692 3547330 639 1 ENSG00000158109 -1 ENSG00000116213
ENSG00000116213 1 3569326 3696783 127458 -1 ENSG00000116213 -1 ENSG00000130764
ENSG00000130764 1 3713069 3728644 15576 -1 ENSG00000130764 -1 ENSG00000116198
ENSG00000116198 1 3773779 3773844 66 -1 ENSG00000116198 1 ENSG00000169598
ENSG00000169598 1 3801994 3805688 3695 1 ENSG00000169598 -1 ENSG00000198912
ENSG00000198912 1 3816858 6051525 2234668 -1 ENSG00000198912 1 ENSG00000069424
ENSG00000069424 1 6161254 6241328 80075 1 ENSG00000069424 -1 ENSG00000116251
ENSG00000116251 1 6269450 6281252 11803 -1 ENSG00000116251 -1 ENSG00000116237
ENSG00000116237 1 6296033 6324332 28300 -1 ENSG00000116237 -1 ENSG00000097021
ENSG00000097021 1 6454452 6581406 126955 -1 ENSG00000097021 -1 ENSG00000162408
ENSG00000162408 1 6614596 6640060 25465 -1 ENSG00000162408 1 ENSG00000204859
ENSG00000204859 1 6649341 6650783 1443 1 ENSG00000204859 -1 ENSG00000162413
ENSG00000162413 1 6674668 6684925 10258 -1 ENSG00000162413 1 ENSG00000041988
ENSG00000041988 1 6695647 6694227 -1419 1 ENSG00000041988 -1 ENSG00000007923
ENSG00000007923 1 6761985 6845383 83399 -1 ENSG00000007923 1 ENSG00000171735
ENSG00000171735 1 7829767 7831328 1562 1 ENSG00000171735 1 ENSG00000049245
ENSG00000049245 1 7841493 7979906 138414 1 ENSG00000049245 -1 ENSG00000049249
ENSG00000049249 1 8000927 8014350 13424 -1 ENSG00000049249 1 ENSG00000116288
ENSG00000116288 1 8045566 8064463 18898 1 ENSG00000116288 -1 ENSG00000116285
ENSG00000116285 1 8086369 8412456 326088 -1 ENSG00000116285 -1 ENSG00000142599
ENSG00000142599 1 8877703 8921060 43358 -1 ENSG00000142599 -1 ENSG00000074800
ENSG00000074800 1 8939309 9160363 221055 -1 ENSG00000074800 -1 ENSG00000180758
ENSG00000180758 1 9189230 9352938 163709 -1 ENSG00000180758 1 ENSG00000171621
ENSG00000171621 1 9429592 9599540 169949 1 ENSG00000171621 1 ENSG00000171612
ENSG00000171612 1 9645238 9789083 143846 1 ENSG00000171612 -1 ENSG00000171603
ENSG00000171603 1 9884585 9908333 23749 -1 ENSG00000171603 -1 ENSG00000178585
ENSG00000178585 1 9970395 9982172 11778 -1 ENSG00000178585 -1 ENSG00000162441
ENSG00000162441 1 10003466 10003485 20 -1 ENSG00000162441 1 ENSG00000173614
ENSG00000173614 1 10045560 10092889 47330 1 ENSG00000173614 1 ENSG00000130939
ENSG00000130939 1 10241298 10270862 29565 1 ENSG00000130939 1 ENSG00000054523
ENSG00000054523 1 10441662 10458648 16987 1 ENSG00000054523 1 ENSG00000142657
ENSG00000142657 1 10480202 10516578 36377 1 ENSG00000142657 -1 ENSG00000160049
ENSG00000160049 1 10532584 11072413 539830 -1 ENSG00000160049 1 ENSG00000120948
ENSG00000120948 1 11085797 11114640 28844 1 ENSG00000120948 -1 ENSG00000116649
ENSG00000116649 1 11120082 11126674 6593 -1 ENSG00000116649 -1 ENSG00000171824
ENSG00000171824 1 11159939 11166591 6653 -1 ENSG00000171824 -1 ENSG00000198793
ENSG00000198793 1 11322565 11333262 10698 -1 ENSG00000198793 1 ENSG00000120942
ENSG00000120942 1 11356107 11734536 378430 1 ENSG00000120942 -1 ENSG00000116670
ENSG00000116670 1 11751708 11796140 44433 -1 ENSG00000116670 1 ENSG00000177674
ENSG00000177674 1 11814860 11845779 30920 1 ENSG00000177674 -1 ENSG00000177000
ENSG00000177000 1 11866978 11866206 -771 -1 ENSG00000177000 1 ENSG00000011021
ENSG00000011021 1 11903202 11979647 76446 1 ENSG00000011021 -1 ENSG00000116685
ENSG00000116685 1 11986486 11994261 7776 -1 ENSG00000116685 1 ENSG00000083444
ENSG00000083444 1 12035596 12040237 4642 1 ENSG00000083444 1 ENSG00000116688
ENSG00000116688 1 12073572 12079522 5951 1 ENSG00000116688 1 ENSG00000116691
ENSG00000116691 1 12092103 12290123 198021 1 ENSG00000116691 1 ENSG00000048707
ENSG00000048707 1 12572100 12627938 55839 1 ENSG00000048707 -1 ENSG00000162496
ENSG00000162496 1 12677738 14026692 1348955 -1 ENSG00000162496 1 ENSG00000116731
ENSG00000116731 1 14151575 15479027 1327453 1 ENSG00000116731 1 ENSG00000171729
ENSG00000171729 1 15546977 15736390 189414 1 ENSG00000171729 1 ENSG00000142634
ENSG00000142634 1 15756840 15817326 60487 1 ENSG00000142634 -1 ENSG00000132906
ENSG00000132906 1 15853030 15853307 278 -1 ENSG00000132906 1 ENSG00000116138
ENSG00000116138 1 15918875 15943994 25120 1 ENSG00000116138 1 ENSG00000197312
ENSG00000197312 1 15995540 16010826 15287 1 ENSG00000197312 1 ENSG00000116786
ENSG00000116786 1 16061265 16268363 207099 1 ENSG00000116786 -1 ENSG00000116809
ENSG00000116809 1 16302628 16450831 148204 -1 ENSG00000116809 -1 ENSG00000142627
ENSG00000142627 1 16482583 16524348 41766 -1 ENSG00000142627 -1 ENSG00000142632
ENSG00000142632 1 16539141 16573333 34193 -1 ENSG00000142632 -1 ENSG00000037637
ENSG00000037637 1 16678950 16679069 120 -1 ENSG00000037637 1 ENSG00000055070
ENSG00000055070 1 16724641 16767166 42526 1 ENSG00000055070 1 ENSG00000157191
ENSG00000157191 1 16786574 16888813 102240 1 ENSG00000157191 -1 ENSG00000219481
ENSG00000219481 1 16940058 17345216 405159 -1 ENSG00000219481 -1 ENSG00000117118
ENSG00000117118 1 17380666 17733255 352590 -1 ENSG00000117118 -1 ENSG00000179051
ENSG00000179051 1 17766221 18081807 315587 -1 ENSG00000179051 1 ENSG00000117148
ENSG00000117148 1 18153559 19400999 1247441 1 ENSG00000117148 -1 ENSG00000127481
ENSG00000127481 1 19536771 19542157 5387 -1 ENSG00000127481 -1 ENSG00000127463
ENSG00000127463 1 19578047 19578032 -14 -1 ENSG00000127463 1 ENSG00000053372
ENSG00000053372 1 19586623 19630458 43836 1 ENSG00000053372 -1 ENSG00000053371
ENSG00000053371 1 19638641 19638819 179 -1 ENSG00000053371 1 ENSG00000040487
ENSG00000040487 1 19655795 19665266 9472 1 ENSG00000040487 -1 ENSG00000077549
ENSG00000077549 1 19812067 19923472 111406 -1 ENSG00000077549 1 ENSG00000270136
ENSG00000270136 1 19984550 19967047 -17502 1 ENSG00000270136 1 ENSG00000158747
ENSG00000158747 1 19984946 20008705 23760 1 ENSG00000158747 -1 ENSG00000162542
ENSG00000162542 1 20126439 20209005 82567 -1 ENSG00000162542 1 ENSG00000169914
ENSG00000169914 1 20239439 20825942 586504 1 ENSG00000169914 -1 ENSG00000090432
ENSG00000090432 1 20834655 20915440 80786 -1 ENSG00000090432 1 ENSG00000158825
ENSG00000158825 1 20945402 20959947 14546 1 ENSG00000158825 1 ENSG00000158828
ENSG00000158828 1 20978005 20978269 265 1 ENSG00000158828 -1 ENSG00000244038
ENSG00000244038 1 20988001 21069153 81153 -1 ENSG00000244038 -1 ENSG00000127483
ENSG00000127483 1 21113817 21132962 19146 -1 ENSG00000127483 -1 ENSG00000075151
ENSG00000075151 1 21503378 21543739 40362 -1 ENSG00000075151 -1 ENSG00000117298
ENSG00000117298 1 21671998 21922707 250710 -1 ENSG00000117298 -1 ENSG00000076864
ENSG00000076864 1 21995802 22004790 8989 -1 ENSG00000076864 -1 ENSG00000090686
ENSG00000090686 1 22110100 22379119 269020 -1 ENSG00000090686 1 ENSG00000070831
ENSG00000070831 1 22419438 22778343 358906 1 ENSG00000070831 1 ENSG00000184677
ENSG00000184677 1 22857651 23345940 488290 1 ENSG00000184677 1 ENSG00000004487
ENSG00000004487 1 23410183 23410515 333 1 ENSG00000004487 -1 ENSG00000169641
ENSG00000169641 1 23504302 23516992 12691 -1 ENSG00000169641 -1 ENSG00000179546
ENSG00000179546 1 23521223 23630263 109041 -1 ENSG00000179546 -1 ENSG00000125944
ENSG00000125944 1 23670830 23685940 15111 -1 ENSG00000125944 -1 ENSG00000125945
ENSG00000125945 1 23695936 23695489 -446 -1 ENSG00000125945 1 ENSG00000249087
ENSG00000249087 1 23698333 23755055 56723 1 ENSG00000249087 -1 ENSG00000088280
ENSG00000088280 1 23810686 23832921 22236 -1 ENSG00000088280 -1 ENSG00000007968
ENSG00000007968 1 23857713 23884408 26696 -1 ENSG00000007968 -1 ENSG00000117318
ENSG00000117318 1 23886286 24018268 131983 -1 ENSG00000117318 1 ENSG00000142676
ENSG00000142676 1 24022916 24069644 46729 1 ENSG00000142676 1 ENSG00000011007
ENSG00000011007 1 24088550 24104894 16345 1 ENSG00000011007 1 ENSG00000057757
ENSG00000057757 1 24114723 24117459 2737 1 ENSG00000057757 1 ENSG00000011009
ENSG00000011009 1 24122030 24122088 59 1 ENSG00000011009 -1 ENSG00000117308
ENSG00000117308 1 24127272 24128374 1103 -1 ENSG00000117308 -1 ENSG00000117305
ENSG00000117305 1 24165111 24171566 6456 -1 ENSG00000117305 -1 ENSG00000179163
ENSG00000179163 1 24194785 24285598 90814 -1 ENSG00000179163 1 ENSG00000189266
ENSG00000189266 1 24289953 24291293 1341 1 ENSG00000189266 -1 ENSG00000188529
ENSG00000188529 1 24307418 24683488 376071 -1 ENSG00000188529 -1 ENSG00000001460
ENSG00000001460 1 24743425 24742283 -1141 -1 ENSG00000001460 1 ENSG00000001461
ENSG00000001461 1 24799467 24829386 29920 1 ENSG00000001461 1 ENSG00000117602
ENSG00000117602 1 24867531 24958206 90676 1 ENSG00000117602 1 ENSG00000133226
